"county","state","mean_household_income","unemployment","private_insurance","public_insurance","no_insurance"
"Baylor","TX",59974,3.5,59.4,37.5,17.9
"Bee","TX",65876,7.3,59,35.1,15.7
"Bell","TX",75372,7.7,66.9,33.6,13.8
"Bexar","TX",84133,5.6,63,31.5,15.6
"Blanco","TX",94758,4.3,72.2,31.4,15.3
"Borden","TX",96167,4.4,85.1,24.4,5.5
"Bosque","TX",73128,3.8,60.2,40.1,16.8
"Bowie","TX",75703,4.1,62.8,34.6,14.7
"Brazoria","TX",108492,5.1,71.7,23,13.4
"Brazos","TX",78445,4.4,74.9,21.7,12.3
"Brewster","TX",67997,3.4,76.1,28.1,12.7
"Briscoe","TX",52889,1.8,45.7,41.2,26.1
"Brooks","TX",39592,1.7,42.6,45.9,22.7
"Brown","TX",70248,5.2,59.9,37.9,16.9
"Burleson","TX",79815,5.5,64.6,36.4,13.9
"Burnet","TX",90634,3.7,62.4,36.8,18.1
"Caldwell","TX",80237,2.4,56.2,31.1,24.1
"Calhoun","TX",77888,4.1,70.6,30.1,13.6
"Callahan","TX",68791,4.5,64.1,37.2,16.3
"Cameron","TX",60107,6,38.4,38.3,28.5
"Camp","TX",68062,8.2,53.6,42.1,20.4
"Carson","TX",97794,2.2,74.1,24.5,10.2
"Cass","TX",61554,8.8,58,42.3,14.7
"Castro","TX",68870,4.1,50.9,35.6,22.3
"Chambers","TX",113619,8.4,69.4,25.2,14.2
"Cherokee","TX",69290,6.6,55.6,37.5,20.7
"Childress","TX",70354,7.2,60.6,29.7,21.9
"Clay","TX",81656,1.8,66,35.6,14.4
"Cochran","TX",55893,8.4,42.3,41,22.4
"Coke","TX",60514,2.8,61.1,40.6,13.3
"Coleman","TX",61868,6.6,51.2,42.4,24.2
"Collin","TX",133573,4.3,80,16.8,10.6
"Collingsworth","TX",65187,4.6,44,41.6,25.3
"Colorado","TX",82577,4.5,64.4,33,16.2
"Comal","TX",112019,3.6,75.4,29,11.1
"Comanche","TX",68534,7.5,63.1,38.7,15.7
"Concho","TX",62995,1.3,62.6,49.8,7.2
"Cooke","TX",85821,3.8,64.5,33.3,16.4
"Coryell","TX",70872,6.1,70.6,35.1,12.6
"Cottle","TX",63500,3.8,58.4,47.8,12.6
"Crane","TX",77478,3.5,73.7,19.5,16.9
"Crockett","TX",59153,1.6,64.4,23.6,20.4
"Crosby","TX",70789,4.7,50.8,42,21
"Culberson","TX",42578,12.5,33.5,45.8,28
"Dallam","TX",92569,2.5,50.1,29.1,29.5
"Dallas","TX",95218,5.2,56.9,28.3,21.4
"Dawson","TX",62133,8.2,51.2,41.6,16.8
"DeWitt","TX",81147,6.3,62.2,35.8,16.5
"Deaf Smith","TX",66766,3.6,47.8,36.3,23.3
"Delta","TX",77374,4.2,69.9,38.2,9.3
"Denton","TX",123438,4.1,79.4,17.5,10.9
"Dickens","TX",62747,8.9,57.8,44.1,17.2
"Dimmit","TX",50484,5.9,40.5,50.6,14.1
"Donley","TX",64299,0.1,62.8,32,16.3
"Duval","TX",56932,10.3,44.3,44,22
"Eastland","TX",69685,5.5,59.9,39.9,17.1
"Ector","TX",85087,6.1,62.1,23.5,21.6
"Edwards","TX",64825,0,46.6,38,26.1
"El Paso","TX",68614,6.8,52.8,33.6,21.3
"Ellis","TX",104354,4,68.1,24.8,16.1
"Erath","TX",79145,5.6,69.1,27.9,14.9
"Falls","TX",59716,8.1,56,45.2,15.9
"Fannin","TX",84956,4.8,59.8,34.9,16.8
"Fayette","TX",85580,3.5,71.1,34.8,11.7
"Fisher","TX",70672,3.8,66.7,36.4,12.4
"Floyd","TX",66659,4.5,50.5,36.8,23.8
"Foard","TX",56673,10.1,54.7,49.8,16.9
"Fort Bend","TX",128974,5.5,74,20.9,12.2
"Franklin","TX",95815,6.6,62.4,36,15.1
"Freestone","TX",76518,2.7,62.9,41.1,11.6
"Frio","TX",68201,5.1,56.5,35.1,16.6
"Gaines","TX",81041,3.3,50.5,24.3,30.5
"Galveston","TX",103614,5.7,70.9,26.7,13.2
"Garza","TX",67128,6.9,73.4,34.4,11.9
"Gillespie","TX",93625,4.7,63.8,40,18.4
"Glasscock","TX",110050,0,55.4,20.5,27.8
"Goliad","TX",82053,3.8,65.5,36.1,11.3
"Gonzales","TX",76749,0.8,55.4,34.1,20.3
"Gray","TX",74688,5,58.9,32.8,20.7
"Grayson","TX",80260,3.9,61.7,33.9,16.8
"Gregg","TX",77542,3.7,57.6,34.4,18
"Grimes","TX",82496,4.9,62,35.9,16
"Guadalupe","TX",94811,4.4,71.9,29,11.9
"Hale","TX",62112,4.5,52.3,33,23
"Hall","TX",62029,9.7,53.7,43.1,22.1
"Hamilton","TX",69806,3.7,59.5,41.7,15.9
"Hansford","TX",64026,11.3,68.3,23.9,16.1
"Hardeman","TX",67747,2.5,62.2,39.8,12.3
"Hardin","TX",80543,4.2,61.6,33.1,16.4
"Harris","TX",97219,6.5,57.1,28,21.1
"Harrison","TX",74499,6.6,59.2,37.4,15.3
"Hartley","TX",78904,0.8,65.7,27.7,17.5
"Haskell","TX",85411,6.8,54.4,41.1,19.8
"Hays","TX",94476,5.6,73.6,22.3,13.9
"Hemphill","TX",97336,6.2,68.2,27.5,18.4
"Henderson","TX",73334,6.3,53.7,43.5,18.4
"Hidalgo","TX",62371,7.8,36.8,37.2,30.8
"Hill","TX",74443,5.5,58,36.6,16.8
"Hockley","TX",67081,5.8,57.6,32.5,19.1
"Hood","TX",97119,6.2,65.1,35.7,13.7
"Hopkins","TX",76340,4.5,60.9,31.8,19.5
"Houston","TX",64371,4.5,54.3,45.5,15.5
"Howard","TX",74352,5.4,61.1,32.3,17.3
"Hudspeth","TX",38255,7.5,37.9,57.1,21.3
"Hunt","TX",78773,5.4,60.5,34.7,16.2
"Hutchinson","TX",72615,7.3,63.2,29.9,18.5
"Irion","TX",60779,6.9,66.1,28.2,14.6
"Jack","TX",71196,6.6,58.3,36.8,18.9
"Jackson","TX",74270,4.3,64.5,33.8,16.2
"Jasper","TX",69798,13.7,51.3,42.1,19.3
"Jeff Davis","TX",56624,0,48.2,47.4,20.9
"Jefferson","TX",75702,5.6,54.8,33.8,21
"Jim Hogg","TX",52084,4.3,45.6,38.6,23.6
"Jim Wells","TX",66136,4.3,51.1,38.2,19.1
"Johnson","TX",86582,3.3,65.8,25.5,16.3
"Jones","TX",67030,5.8,60.3,38.4,16.9
"Karnes","TX",81117,3.3,61.7,33.7,15.9
"Kaufman","TX",92809,4.9,68.9,25.7,13.9
"Kendall","TX",143027,4.2,75.4,27.6,12.4
"Kenedy","TX",47550,0,18.9,63.9,20.7
"Kent","TX",75158,0.5,75.3,39.5,2.9
"Kerr","TX",86607,3.7,60.6,41.3,18.2
"Kimble","TX",87552,2.1,61.4,39.7,17.8
"King","TX",53211,4.9,69,19.2,15.7
"Kinney","TX",57668,1.5,46.3,50.5,17.7
"Kleberg","TX",63417,5.4,57.7,37.2,15.1
"Knox","TX",63870,3.6,58.2,36,19.2
"La Salle","TX",66770,1.5,57.7,28.6,21.1
"Lamar","TX",65091,3.3,56.7,38.2,17.8
"Lamb","TX",63261,3.1,52.2,34.4,23.6
"Lampasas","TX",79634,6.7,67.1,42.6,15
"Lavaca","TX",79112,3.2,71.3,32.6,11.4
"Lee","TX",70328,2.8,63.5,34.2,16.5
"Leon","TX",75611,6.3,60.4,40,18.1
"Liberty","TX",71504,8.1,50.3,32.7,24
"Limestone","TX",64051,4.3,54.4,40.3,18.7
"Lipscomb","TX",86306,5.9,65.9,28,18.7
"Live Oak","TX",67041,3.6,57.7,37.5,15
"Llano","TX",102152,4.2,62.3,48.8,15.9
"Loving","TX",140385,0,98.8,31.3,0
"Lubbock","TX",78764,4.4,68,28.7,13.4
"Lynn","TX",74287,3.3,65.3,32.5,14.6
"Madison","TX",69999,7.3,60.7,36.8,15.5
"Marion","TX",63113,11.7,58.3,48,12.2
"Martin","TX",92309,5.7,70,27.4,10.5
"Mason","TX",92366,3.5,75.6,34.6,12.6
"Matagorda","TX",65165,6.3,55.7,37.4,18.4
"Maverick","TX",59213,7,40.2,34.5,28.7
"McCulloch","TX",59867,7.7,55.9,38.3,19.7
"McLennan","TX",75724,4.7,65.4,32.2,14
"McMullen","TX",88725,3.4,52,34,24.1
"Medina","TX",87125,3,67.5,34.3,13.9
"Menard","TX",58475,8.6,45.2,48.6,26.7
"Midland","TX",115581,3.3,69.8,21.1,16.2
"Milam","TX",74425,6.3,59.4,38.1,15
"Mills","TX",74599,2.4,68.1,39.4,16.4
"Mitchell","TX",73538,2,52.7,42.1,17.4
"Montague","TX",75587,7,61,38.8,15.3
"Montgomery","TX",123632,4.6,69.8,24.2,14.7
"Moore","TX",69455,2,63.7,23.3,19.9
"Morris","TX",60259,5.7,62.2,42,11.5
"Motley","TX",72755,3.6,51.6,50.7,19.3
"Nacogdoches","TX",71652,7.4,58.9,33.7,16.6
"Navarro","TX",69653,5.1,54.3,35.3,19.6
"Newton","TX",56778,10.4,51.4,39.5,21.6
"Nolan","TX",66848,8,56.3,37,17.6
"Nueces","TX",78993,6,56.7,33.9,18.4
"Ochiltree","TX",75838,1.9,58.1,27.6,21.8
"Oldham","TX",90065,1.5,77.7,23.1,9.8
"Orange","TX",89734,5.4,61.5,31.7,16.6
"Palo Pinto","TX",75698,6.9,56.8,38.6,18.3
"Panola","TX",76003,2.8,51.9,39.6,19.3
"Parker","TX",109344,4.3,71.9,25.2,13.8
"Parmer","TX",79359,2.2,57.9,31.4,21.2
"Pecos","TX",78201,1.3,63.9,29.1,18.5
"Polk","TX",68244,9.5,55.2,41.6,17.7
"Potter","TX",65239,3.6,55.1,31.2,21.8
"Presidio","TX",47893,7.8,37.1,38.2,29.3
"Rains","TX",83694,3.9,60.5,37.1,17.6
"Randall","TX",91920,3.2,75,26.9,9.7
"Reagan","TX",76750,6.4,64.9,20,19
"Real","TX",68459,1.4,43.6,57.8,22.5
"Red River","TX",53480,4.3,51.4,47.8,16.1
"Reeves","TX",73333,6.5,55.6,30.4,19.7
"Refugio","TX",62271,5.6,49.9,44.3,16.5
"Roberts","TX",77135,0,70.6,33.6,16.2
"Robertson","TX",71637,9.4,61.1,40,13.6
"Rockwall","TX",141727,3.6,79.6,20.8,8.8
"Runnels","TX",68815,2,64.9,34.9,13.3
"Rusk","TX",80079,6.1,61.5,35,15.4
"Sabine","TX",71698,10.2,57.8,50.2,13.7
"San Augustine","TX",54598,11.4,50.7,48.6,18.9
"San Jacinto","TX",67919,7.7,50.4,42.7,19.6
"San Patricio","TX",80121,4.3,56.2,35.3,16.5
"San Saba","TX",63141,3.4,50.5,45.9,23.1
"Schleicher","TX",67772,16.4,60.6,28.2,25.8
"Scurry","TX",72953,2.9,58.6,29.9,20.6
"Shackelford","TX",77181,7.2,71.7,34.2,11.7
"Shelby","TX",63984,6,49.5,39.7,20.6
"Sherman","TX",111110,1.8,64.3,30.2,17.1
"Smith","TX",84435,4.9,62.1,32.9,17.2
"Somervell","TX",95582,5.4,69.1,30.7,14.3
"Starr","TX",50334,12.1,28.1,41.6,33.8
"Stephens","TX",67473,6.5,55.1,38.6,19.2
"Sterling","TX",83350,0,63.1,19,27.1
"Stonewall","TX",71054,2.1,61.5,33.1,17.1
"Sutton","TX",70704,4.1,58.6,33.1,17.2
"Swisher","TX",52780,6.2,48.6,38.9,21.7
"Tarrant","TX",99480,5.1,65,25.9,16.8
"Taylor","TX",77795,2.8,66.2,31.4,14.8
"Terrell","TX",55717,0,70.5,48.3,10.6
"Terry","TX",67128,8,46.5,41.3,22.1
"Throckmorton","TX",68089,5.9,58.3,36.8,22.6
"Titus","TX",65508,5,55.6,35.4,18.7
"Tom Green","TX",79642,3.7,70.4,29.2,13.3
"Travis","TX",119031,4.3,74.7,21,12.4
"Trinity","TX",62832,8.4,47.6,48,19.3
"Tyler","TX",64868,16.2,50.6,46.2,18.9
"Upshur","TX",73540,4.8,59.7,36.8,16
"Upton","TX",65961,5.2,70.1,26.3,8.9
"Uvalde","TX",67928,5,51.7,39.8,18.9
"Val Verde","TX",63652,4.4,53.4,34.6,21.4
"Van Zandt","TX",81802,3.7,60.2,37.4,17.2
"Victoria","TX",78310,4.6,60.3,33.5,16.7
"Walker","TX",60142,4.6,70.8,26.7,14.3
"Waller","TX",92957,4.6,64.4,23.3,19.7
"Ward","TX",90034,5.7,65.8,29.7,14.9
"Washington","TX",93625,4.8,68,33.9,14.2
"Webb","TX",71074,5.8,43,33.1,28.6
"Wharton","TX",76020,6,58.6,33.6,19
"Wheeler","TX",70108,3.8,56,36.7,21.6
"Wichita","TX",69869,4.7,63.7,34.9,14.9
"Wilbarger","TX",58603,8.7,60.8,42.2,12.6
"Willacy","TX",54886,7.9,34.5,43.1,29.1
"Williamson","TX",115511,4.5,79.7,21.2,9.6
"Wilson","TX",107975,3.9,68.4,30.4,13
"Winkler","TX",81918,2.2,67.2,18.1,22.3
"Wise","TX",94122,4.6,65.8,27.9,17.3
"Wood","TX",77329,4.6,59.4,43.9,15.9
"Yoakum","TX",92566,3.6,58.1,20.7,24.7
"Young","TX",75173,3.3,60.3,36.7,18.4
"Zapata","TX",60557,8.3,35.7,47,26
"Zavala","TX",54300,3.7,41.6,54.5,14.1
"Beaver","UT",79012,5.1,79.6,19.9,10.1
"Box Elder","UT",81977,2.7,79.4,22.2,8.3
"Cache","UT",83418,2.6,80,21.2,6.7
"Carbon","UT",61614,6.8,72.6,35.3,7.9
"Daggett","UT",64166,2.1,84.7,27.8,5
"Davis","UT",112521,2.4,84.5,18.9,6
"Duchesne","UT",80069,5.3,64.7,28.5,15.2
"Emery","UT",71233,4.2,75.6,33.7,7.7
"Garfield","UT",65912,4.9,73.9,29.4,15.5
"Grand","UT",69130,1.2,61.8,34.5,15.8
"Iron","UT",74892,4.2,71.7,30.3,10.8
"Juab","UT",85396,2.4,75.7,25.9,8.4
"Kane","UT",81530,3.5,70.5,34,9.6
"Millard","UT",77719,3.1,74.4,28.4,11.8
"Morgan","UT",135282,1.3,87.4,16,5.7
"Piute","UT",49697,5.6,60.8,41.3,16.4
"Rich","UT",80512,3.1,82.5,23.5,8.9
"Salt Lake","UT",106158,3.9,77.5,20.2,9.9
"San Juan","UT",65999,11.1,52.2,40.2,19.4
"Sanpete","UT",76914,3.9,73.7,30.1,11.3
"Sevier","UT",71842,5.4,71.3,32.2,10.1
"Summit","UT",176064,1.9,85.8,16.1,6.1
"Tooele","UT",96513,4.1,81.2,19.8,7.8
"Uintah","UT",79174,6.3,66.4,26.9,16.1
"Utah","UT",105684,3.6,82.5,16.9,7.8
"Wasatch","UT",131795,2.3,83.7,17.5,6.8
"Washington","UT",89318,3.2,71.4,32.8,12.5
"Wayne","UT",68796,0.5,65.7,36,17.5
"Weber","UT",89933,3.4,78.1,23.5,8.8
"Accomack","VA",68774,3.9,59.6,46.1,12.3
"Albemarle","VA",125809,3.3,82.2,26.7,5.7
"Alexandria city","VA",142940,3.2,78.7,22.3,9.2
"Alleghany","VA",64494,3.2,63.9,43.8,6.7
"Amelia","VA",76336,4.3,72.4,35,7.8
"Amherst","VA",77644,5,69.5,35.6,8.9
"Appomattox","VA",69246,3.7,66.2,41.2,9
"Arlington","VA",165900,2.9,87.7,15.6,6
"Augusta","VA",82373,3,73,35.4,8.1
"Bath","VA",70728,1.7,54.8,53.2,7.2
"Bedford","VA",89800,3.1,76.6,34.5,6.5
"Bland","VA",65413,4,66.8,42.1,5.4
"Botetourt","VA",91937,3.1,77.6,32.6,5.5
"Bristol city","VA",61950,3.7,55.9,44,13.2
"Brunswick","VA",65041,6.9,63.5,46.5,5.7
"Buchanan","VA",49235,5.8,46.9,58.9,8.3
"Buckingham","VA",64503,7,58.2,43.5,11.8
"Buena Vista city","VA",81923,1.3,66.2,40.2,7.9
"Campbell","VA",69885,4.4,68.7,36.9,8
"Caroline","VA",97885,4.1,75.5,32.4,6.8
"Carroll","VA",59606,5.1,60.6,45.8,9.8
"Charles City","VA",87501,3.4,66.3,41.7,7.8
"Charlotte","VA",62777,4.1,58.7,45.7,10.2
"Charlottesville city","VA",98389,4.3,78.8,23.4,7
"Chesapeake city","VA",104765,5.1,78.8,28.5,6.7
"Chesterfield","VA",110902,4.7,78,28.3,7.5
"Clarke","VA",110382,3.7,80.3,28.1,7.9
"Colonial Heights city","VA",80723,6.5,72.6,38.1,7.8
"Covington city","VA",52783,3.4,60.7,44.8,8
"Craig","VA",71043,1.4,67.3,46.7,3.7
"Culpeper","VA",103870,4.2,71.3,31.9,9.1
"Cumberland","VA",79042,2.7,70.8,34.6,9.5
"Danville city","VA",55357,6,54.1,50.9,9.4
"Dickenson","VA",50376,4.6,52.3,57.1,7
"Dinwiddie","VA",85341,6.2,73.4,35.9,6.1
"Emporia city","VA",52278,15.9,45.7,57,7.4
"Essex","VA",65351,8.6,57.6,51.8,10.1
"Fairfax","VA",170527,4.2,82.6,21.1,7.6
"Fairfax city","VA",149070,3.6,83.6,20.8,6.9
"Falls Church city","VA",193242,5.1,95.7,13.9,1.1
"Fauquier","VA",136661,2.9,81.8,24.2,7.7
"Floyd","VA",64290,3.4,71.3,35.8,7.1
"Fluvanna","VA",118639,2.8,77.9,29.6,8
"Franklin","VA",80744,2.9,65.1,42.2,9.3
"Franklin city","VA",60168,8.5,57.4,55.5,4.4
"Frederick","VA",103670,3.7,74.4,30.9,8.4
"Fredericksburg city","VA",100399,5,73.4,27.3,10.1
"Galax city","VA",68466,5.1,56.4,46.4,14.4
"Giles","VA",67057,2,68.8,36.2,8.5
"Gloucester","VA",91499,3.3,75.8,33.9,5.7
"Goochland","VA",143602,3.1,83.6,30.5,3.9
"Grayson","VA",59289,4.6,57.1,44.6,13.2
"Greene","VA",95228,4,73.4,33.1,8.2
"Greensville","VA",70353,8.9,58.2,48,10.6
"Halifax","VA",59487,5,59.2,49.3,7.8
"Hampton city","VA",76834,6,70.2,39.1,7.6
"Hanover","VA",119156,3.1,82.1,27.1,4.9
"Harrisonburg city","VA",69164,5.3,70.9,25.5,11.1
"Henrico","VA",105943,4.1,76.7,28.6,6.9
"Henry","VA",54768,5.9,52.6,52,8.9
"Highland","VA",62330,16.1,54.1,62.2,8.1
"Hopewell city","VA",57370,8.6,55,50.1,7.7
"Isle of Wight","VA",105172,5.6,78.7,31.4,6.3
"James City","VA",118227,4.4,81.5,35.1,5.2
"King George","VA",112605,2.9,82.5,28,4.7
"King William","VA",85783,3,80.2,29.7,5.4
"King and Queen","VA",80692,3.2,68.1,42,5.3
"Lancaster","VA",92392,11.7,70,49.3,7.8
"Lee","VA",49746,9.4,48.3,56.2,10.8
"Lexington city","VA",72448,3.4,90.7,20.4,2
"Loudoun","VA",184367,3.4,87.5,15.1,5.5
"Louisa","VA",95567,6.2,69.1,38.9,7.8
"Lunenburg","VA",58615,4.8,63,45.7,9.5
"Lynchburg city","VA",70515,6.1,69.6,34,7.6
"Madison","VA",93281,5,68.3,39.6,5.8
"Manassas Park city","VA",110185,3,62.4,25.3,17.7
"Manassas city","VA",120353,5,64,27.1,17.5
"Martinsville city","VA",54571,5.5,50,50.9,9.9
"Mathews","VA",98926,7,66.5,45.1,10.2
"Mecklenburg","VA",66033,3.4,65.5,45.3,8.2
"Middlesex","VA",79326,6.2,67.5,51.3,6.6
"Montgomery","VA",79801,3.6,79.9,24.4,5.9
"Nelson","VA",94696,4.7,65.5,44,8.2
"New Kent","VA",116932,3.1,85.4,24.4,4.4
"Newport News city","VA",75634,5.7,67.3,36.5,9.7
"Norfolk city","VA",77300,7.1,65,36.1,10.8
"Northampton","VA",77110,5.3,62.9,46.4,10.8
"Northumberland","VA",90763,7.3,71.7,51.5,8.2
"Norton city","VA",54373,8.2,58,46.6,10.1
"Nottoway","VA",75649,5.8,59.3,41.8,13.4
"Orange","VA",93839,5,74,35.2,7.1
"Page","VA",63680,4.3,65.1,39.3,12.4
"Patrick","VA",64785,2.9,60.8,45.4,8.2
"Petersburg city","VA",55373,12.2,55.8,48.8,10.8
"Pittsylvania","VA",63382,5.4,62.4,44.8,7.6
"Poquoson city","VA",120555,1.6,88.4,25.6,2.9
"Portsmouth city","VA",68483,6.3,62.4,43,9.2
"Powhatan","VA",117776,1.9,83.4,27,4.9
"Prince Edward","VA",64460,4.5,70.6,35,8.3
"Prince George","VA",92283,7.2,79.6,32.8,5.1
"Prince William","VA",138545,4.9,78.1,22.3,10.5
"Pulaski","VA",70306,3.7,67.2,40.6,6.9
"Radford city","VA",60628,7.3,78,22.2,6.7
"Rappahannock","VA",124038,3.7,67.2,38.7,13.5
"Richmond","VA",74978,2.7,73.3,40.3,6.1
"Richmond city","VA",82939,6,63.7,35.5,10.7
"Roanoke","VA",96056,2.9,78.4,32.9,4.8
"Roanoke city","VA",67598,6.4,59.4,41.6,10.5
"Rockbridge","VA",80781,5.3,70.1,42.3,6.8
"Rockingham","VA",87327,3.1,72.6,30.6,10.3
"Russell","VA",55479,6.9,56.3,49.4,7.3
"Salem city","VA",90891,3.6,78.5,29.5,6
"Scott","VA",56714,4,59.4,48.4,9
"Shenandoah","VA",76170,3.9,69.2,40.6,6.8
"Smyth","VA",56307,3.8,59.2,48,8.2
"Southampton","VA",77706,6.3,67.6,41.3,5.4
"Spotsylvania","VA",117259,6,76.7,29.6,7.6
"Stafford","VA",137350,4.1,83.1,22.6,7.2
"Staunton city","VA",72285,5.2,65.1,40.2,8.7
"Suffolk city","VA",104795,6.5,74.7,33.2,6.4
"Surry","VA",77897,6.4,67.9,40.1,9.1
"Sussex","VA",69388,5.8,63.3,41.8,9.2
"Tazewell","VA",61365,6.4,56.6,50.1,7.3
"Virginia Beach city","VA",105521,4.3,79.8,27.6,7.1
"Warren","VA",90749,6,69.9,31.9,11.4
"Washington","VA",73341,4.8,62.9,42.7,8.7
"Waynesboro city","VA",67560,4.6,65.5,40.1,9.6
"Westmoreland","VA",77859,11.5,62,47.7,11
"Williamsburg city","VA",98178,6.2,82.8,26,6.7
"Winchester city","VA",82216,4,64.2,35.4,12.1
"Wise","VA",55076,10.6,58.8,48.7,9.2
"Wythe","VA",66772,5.1,64.7,41.1,7.3
"York","VA",113332,4.7,87.5,25.9,3.6
"Addison","VT",94048,4.1,71.4,38.4,5.4
"Bennington","VT",86617,4.4,64.2,48.7,4.6
"Caledonia","VT",74827,3.6,60.9,50,4.7
"Chittenden","VT",106006,3.8,78.1,30.9,3.3
"Essex","VT",65136,5.5,51.4,61.3,5.4
"Franklin","VT",81683,3.6,67.7,42.5,3.6
"Grand Isle","VT",103978,4.1,73.6,39.6,3.7
"Lamoille","VT",98015,3.9,64.8,42.9,6.1
"Orange","VT",81387,3.1,66.2,46.4,4
"Orleans","VT",72478,5.9,61.8,53.5,3.1
"Rutland","VT",77012,4.3,65,46.4,4.5
"Washington","VT",87646,3.1,69.7,42.2,3
"Windham","VT",81154,4.7,61.3,51,4.7
"Windsor","VT",89974,3.6,67.5,43.5,4.7
"Adams","WA",68128,7.4,42.3,47.2,17.2
"Asotin","WA",79827,5.6,65,48.7,6.2
"Benton","WA",98748,5,67.6,39.3,7.6
"Chelan","WA",90114,4,60.8,45,9.7
"Clallam","WA",77462,6.2,60.8,53.6,7.3
"Clark","WA",104100,5.3,70.7,35.9,6.5
"Columbia","WA",89645,2.6,64.8,49.2,7.2
"Cowlitz","WA",81037,6.1,65.4,46.2,5.4
"Douglas","WA",97120,3.9,57.9,43.2,12.3
"Ferry","WA",66023,7.2,50.7,63.4,5.4
"Franklin","WA",91134,5.7,54.8,41.9,14.2
"Garfield","WA",63119,11,62.8,54,6.6
"Grant","WA",78880,5.1,51.9,46.3,11.7
"Grays Harbor","WA",69510,6.9,59,51.3,7.2
"Island","WA",97348,6.1,74.9,43.2,4.7
"Jefferson","WA",82302,7.6,64.2,56.5,5.5
"King","WA",145743,4.6,77.2,26.9,5.4
"Kitsap","WA",107645,4.6,77.2,37,4.7
"Kittitas","WA",82741,6.7,75.7,33.9,4.8
"Klickitat","WA",80448,6.9,62.1,49.4,7
"Lewis","WA",75948,7.1,63,48.1,7.2
"Lincoln","WA",80753,5.1,63.1,48.7,3
"Mason","WA",82004,6.3,64.6,50.8,6.2
"Okanogan","WA",64676,6.5,48.7,57.1,10.7
"Pacific","WA",70529,5.1,63.3,56.4,5.5
"Pend Oreille","WA",74818,6.5,56.3,54.3,6.4
"Pierce","WA",103211,5,72.6,35.2,6.1
"San Juan","WA",110926,3,69,47.9,7.6
"Skagit","WA",94571,4.8,67.4,43.1,6.8
"Skamania","WA",93404,6.1,69.8,42.6,5.6
"Snohomish","WA",117726,4.4,75.6,29,6.1
"Spokane","WA",85162,5.7,65.9,42.3,5.3
"Stevens","WA",76058,5.4,58,52.8,6.9
"Thurston","WA",97319,5.7,75.3,37,5
"Wahkiakum","WA",70177,4.3,67.1,52.4,6.1
"Walla Walla","WA",83812,6.3,66.2,41.8,8.2
"Whatcom","WA",89590,5.1,70.8,37.2,5.6
"Whitman","WA",66772,7.5,78,26.9,4.4
"Yakima","WA",74163,7.1,48.8,48.5,13.3
"Adams","WI",65323,5.7,64.1,54.3,5
"Ashland","WI",65865,5.5,63.3,45.3,6
"Barron","WI",73109,2.9,67.4,41.6,8.4
"Bayfield","WI",79189,3.9,68.3,48.2,5.7
"Brown","WI",88785,3,74.8,30.7,5.4
"Buffalo","WI",73514,2,76,36.3,5.5
"Burnett","WI",71163,5.4,62.7,52.7,7.9
"Calumet","WI",97542,2.3,79.4,26.4,3.3
"Chippewa","WI",80189,2.8,73.9,36.6,5.4
"Clark","WI",72980,3.1,59.4,33.3,20.5
"Columbia","WI",88523,3.4,79.9,31.5,5
"Crawford","WI",70786,3.3,69.6,42.1,7
"Dane","WI",103670,2.4,83.8,24.2,3.8
"Dodge","WI",80396,4.6,78.7,33.3,4
"Door","WI",86831,3.4,75.9,42.7,4.3
"Douglas","WI",74436,3.9,74.4,35.4,5.9
"Dunn","WI",78012,3.8,74.2,33.3,5.9
"Eau Claire","WI",84815,3.6,75.5,32.2,6.7
"Florence","WI",65349,7,62.9,46.4,7.6
"Fond du Lac","WI",82334,3.5,77.2,31.4,4.4
"Forest","WI",64881,4.8,61.2,47.6,9.5
"Grant","WI",73337,2.8,75.9,31,7.1
"Green","WI",86275,3.4,77.3,34.1,4.4
"Green Lake","WI",77111,3.4,69.3,40.1,8.5
"Iowa","WI",87161,1.9,79.7,32.4,3.2
"Iron","WI",64326,5.1,65.5,52.2,5.6
"Jackson","WI",72307,5.1,65.3,42.7,8.8
"Jefferson","WI",87971,3.7,78.9,31.6,4.6
"Juneau","WI",71253,4.3,69,42.8,6.8
"Kenosha","WI",89356,5.8,74.4,32.4,6.5
"Kewaunee","WI",81836,1.7,77.3,33.3,4
"La Crosse","WI",86377,2.8,79.1,29.2,4.6
"Lafayette","WI",76155,2,70.2,34.7,9.9
"Langlade","WI",68163,5.7,68.6,46.5,5.5
"Lincoln","WI",72469,4.8,76.1,38.6,4.4
"Manitowoc","WI",75885,2.1,75.9,35.9,4.5
"Marathon","WI",86842,3.2,75.6,32.2,6
"Marinette","WI",68681,4.3,70.7,42,4.5
"Marquette","WI",69236,4,66.1,44.7,6.4
"Menominee","WI",74101,12.5,38.4,45.6,24.3
"Milwaukee","WI",75385,4.9,63.7,39.2,7.2
"Monroe","WI",78756,2.6,71.3,36.6,8.9
"Oconto","WI",78963,2.2,73.8,36.7,4.2
"Oneida","WI",82987,2.4,72.9,43.6,4.6
"Outagamie","WI",97155,3.1,78.4,27.3,4.6
"Ozaukee","WI",122110,2.8,82.6,28.6,2.8
"Pepin","WI",79788,2.6,70.6,40.1,7.8
"Pierce","WI",94159,3.1,82.4,26,3.9
"Polk","WI",81618,4,72.8,38.1,5.8
"Portage","WI",82855,3.4,80.2,30.3,4.7
"Price","WI",65634,2.5,69.4,45.6,5.5
