"county","state","prop_higher_education","mean_household_income","unemployment","private_insurance","public_insurance","no_insurance","total_population","males","females","old_85","children","old_65","white_pct","black_pct"
"Baldwin","AL","32.5",87709,3.7,69.7,35.9,9.7,227131,48.8,51.2,1.8,21.6,20.6,84.5,8.8
"Barbour","AL","11.2",55066,8.6,52.2,51.7,10.4,25259,52.9,47.1,1.7,20.8,19,45.5,47.4
"Bibb","AL","11.9",67396,9.7,62.6,40.9,10,22412,54.9,45.1,1.4,20.6,16,75.9,22.3
"Blount","AL","14.9",71849,6,65.3,36.8,10,58884,50.1,49.9,1.9,23.2,18,92.5,1.3
"Bullock","AL","11.7",46257,3,44.7,53.5,10.1,10386,54.5,45.5,2,22.2,16.2,24.8,69
"Butler","AL","14.0",63862,6.5,63.5,41.4,11.4,19181,46.8,53.2,2.4,22.8,20.8,51.6,44.8
"Calhoun","AL","19.5",65287,7,64.6,41.2,11.2,116425,48.2,51.8,1.4,21.8,17.7,72.8,21.5
"Chambers","AL","13.7",59993,3.2,59.9,42.7,10.5,34834,48,52,1.4,20.9,19.6,56.9,40.1
"Cherokee","AL","12.8",63492,4.7,64.1,43.8,9.8,24975,49.5,50.5,2.2,19.4,22.9,91.5,4.7
"Chilton","AL","13.5",68497,6.4,63,39.9,12.4,44857,48.8,51.2,1.6,24,16.4,81.1,8.8
"Choctaw","AL","11.7",57529,6.1,56.7,49.3,11.1,12792,47.7,52.3,3.4,20.2,22.8,56.7,41.3
"Clarke","AL","13.9",64589,12.2,58.5,46.4,10.9,23346,47.7,52.3,2.4,22.2,19.7,52,45.4
"Clay","AL","13.4",65502,6.1,65.4,42.5,8.3,14184,49.2,50.8,2,21.3,20.2,82.1,13.3
"Cleburne","AL","16.4",67904,4.5,66.4,36,11,15046,49,51,3.1,22.9,19.2,93.1,2.6
"Coffee","AL","22.7",74955,5.1,67.8,39.4,10.5,53043,49.7,50.3,1.5,23.9,16.9,73.8,17
"Colbert","AL","17.9",65278,3.8,69.5,38.4,6.6,56789,48.6,51.4,1.8,21.2,19.6,78.2,16.4
"Conecuh","AL","12.5",53737,4.7,59.2,47.3,8.3,11778,48.8,51.2,1.9,20.8,22.8,50.1,48.1
"Coosa","AL","11.2",66585,3.3,66.5,44.6,6.6,10442,52,48,2,16.2,23.7,66.2,30.7
"Covington","AL","15.8",63948,7,63.4,39.3,11.1,37490,48.7,51.3,3,22.2,20.9,84.1,12.3
"Crenshaw","AL","16.4",67086,4.7,65.5,42.2,7.3,13300,48.6,51.4,2.1,22.8,19.3,70.6,24.5
"Cullman","AL","16.5",67643,4.4,66.1,37.3,10.9,87129,49.5,50.5,1.4,22.6,18.2,92.8,1.1
"Dale","AL","18.7",63351,8.2,64.8,43.1,10.2,49443,49.8,50.2,1.5,23.1,17,70.8,20.7
"Dallas","AL","16.1",49350,8.5,52.2,49.3,9.9,39162,46.3,53.7,1.8,24.1,18.3,26.9,71.7
"DeKalb","AL","14.4",62388,4.3,58.2,40.1,15.1,71554,49.8,50.2,1.7,24.3,16.9,83.7,1.6
"Elmore","AL","24.6",83506,4.8,73.6,32.4,8.6,87146,48.7,51.3,1.2,22.3,15.5,74.7,20.8
"Escambia","AL","12.5",51084,9.8,59.8,40,12.2,36879,51.2,48.8,2,22.7,18,61.6,31.2
"Etowah","AL","18.0",63821,6.1,64.4,39.3,12.2,103468,48.4,51.6,1.7,21.7,18.9,78.3,15.6
"Fayette","AL","11.8",59916,9.3,59.3,46.6,10.6,16365,49.7,50.3,2.6,21.3,21,84.2,12.7
"Franklin","AL","14.3",58435,4.6,58.5,38,12.7,32034,49.6,50.4,1.9,25.3,16.5,78.1,4.4
"Geneva","AL","13.5",57707,3.5,56.2,47.1,11.9,26604,49.2,50.8,2.6,22.2,20,84.2,9.6
"Greene","AL","12.7",41076,10,44.6,54.2,18,7851,48.1,51.9,2.1,22,22.9,17.6,79.2
"Hale","AL","15.8",52600,7,59.2,49,7.1,14819,47.7,52.3,2.8,23.4,19.4,38.3,59
"Henry","AL","21.6",71087,4.9,64.4,44.8,9,17165,47.7,52.3,2.3,20.9,22.4,70,26.6
"Houston","AL","22.2",72084,5.2,60.8,41.2,11.4,106355,48.2,51.8,1.9,23.2,17.8,67.4,27.3
"Jackson","AL","16.1",60681,5.7,62,42.7,10.7,52548,49.4,50.6,1.6,21.1,20.1,90.4,3.5
"Jefferson","AL","34.7",85794,6.1,67.4,35.6,9.1,672550,47.5,52.5,1.8,23,15.9,50.9,42.9
"Lamar","AL","10.0",55331,4.9,60.3,44.9,7.1,13929,49.6,50.4,2.6,21.7,21.8,86.9,11.1
"Lauderdale","AL","25.5",69687,3.8,70.8,36.3,9.8,93342,48.3,51.7,2.1,19.9,19.8,85,10
"Lawrence","AL","15.3",66836,3,67.6,36.9,9.2,33089,48.4,51.6,1.9,21.9,18.1,77.1,10.4
"Lee","AL","38.6",79097,4.3,75.8,27.7,8.1,172223,49.4,50.6,1.3,21.3,12.3,69.3,22.4
"Limestone","AL","28.4",88207,4.5,77.1,29.4,8.1,101217,50.1,49.9,1.3,22.4,15.1,77.4,13.1
"Lowndes","AL","15.1",52620,8.9,56.2,47.5,9.2,10334,48.1,51.9,1.9,22.6,19,24.8,74.8
"Macon","AL","21.2",56751,11,60.8,46.5,9.7,19490,46,54,1.7,17.3,20.3,16.6,81
"Madison","AL","44.3",96356,4.4,77.3,29.5,8.1,382149,49.2,50.8,1.5,21.9,14.9,66.7,24.3
"Marengo","AL","19.7",59538,5.4,59.1,44.9,10.3,19397,48.1,51.9,2.4,22.7,19.7,45.4,51.3
"Marion","AL","12.6",56740,5.9,60.5,43.3,11.6,29392,49.8,50.2,2.1,21,20.8,91.6,4
"Marshall","AL","21.4",72164,3.9,61.9,39.9,11.9,97179,49.7,50.3,1.6,25.4,16.9,88.8,2.9
"Mobile","AL","23.9",69856,5.8,60.7,39.4,11.4,414620,47.9,52.1,1.6,23.6,16.3,57.4,36.1
"Monroe","AL","12.9",53865,11.9,54.3,46.1,12.4,20115,47.8,52.2,1.8,21.6,20.3,54.1,42.2
"Montgomery","AL","33.4",73923,6.6,62.9,40.2,10.4,229072,47.3,52.7,1.8,23.7,15.1,33.9,58.5
"Morgan","AL","22.8",76093,4.7,66.9,37,10.8,122608,49.5,50.5,2,23.2,17.5,77.6,13.1
"Perry","AL","18.9",39025,19.5,47.3,54.1,9.2,8702,46.1,53.9,1.6,21.2,19.6,29.5,70.1
"Pickens","AL","13.3",60648,7,60.3,47.8,9.1,19240,47.8,52.2,2.5,19.1,18.9,57.2,40.1
"Pike","AL","27.8",65204,4.4,68.3,35.3,8.8,33176,48,52,2,19.3,15.2,57.2,36.5
"Randolph","AL","16.2",63821,4,63.9,41.7,9.6,21984,48.9,51.1,2.2,21.5,20.9,77.1,18.6
"Russell","AL","17.3",59382,6.4,60.7,43.5,10.6,58695,48.3,51.7,1.1,24,14.4,47.2,44.7
"Shelby","AL","44.8",109244,3.3,80.3,25.6,6.5,220780,48.6,51.4,1.3,23.4,15.6,78.7,12.6
"St. Clair","AL","18.5",78592,4.8,70.1,33.9,8.2,90412,50,50,1.1,22.7,16.7,86.2,9.5
"Sumter","AL","19.5",43404,7,49.9,53.6,11,12482,46.1,53.9,1.5,19.4,18.8,25.7,71.3
"Talladega","AL","15.9",61136,7.9,62.7,43.8,9.8,81850,48.4,51.6,1.3,21,17.8,63,32.2
"Tallapoosa","AL","18.1",64860,9.9,61.4,45.8,9.1,41284,48.9,51.1,2.1,20.8,21.5,69.3,27.3
"Tuscaloosa","AL","30.6",75800,5.3,73,31.8,7,223945,48.4,51.6,1.1,21.2,13.4,62.5,32.2
"Walker","AL","14.1",63117,7,64.6,40.2,12,65194,49.5,50.5,2.2,22.4,19.2,88.6,5.9
"Washington","AL","13.6",72183,6.4,62.5,42.6,11.3,15574,51.5,48.5,0.9,20.8,20.6,65.8,23.8
"Wilcox","AL","11.0",49653,14.1,43.5,58.8,10.3,10686,46.4,53.6,1.9,23.7,19.8,27.2,70.8
"Winston","AL","13.5",61741,4.9,59.6,46.1,11.3,23650,50,50,1.5,20.4,21.5,94.1,0.9
"Arkansas","AR","16.6",70145,4.3,60.1,46.2,6,17273,49.2,50.8,1.8,23.3,19.3,71.2,25.7
"Ashley","AR","12.0",64037,5,50.3,54.7,8.4,19362,48.6,51.4,2.8,22.9,20.5,71.6,25.1
"Baxter","AR","18.6",63443,5.4,58.4,56.7,6.2,41476,48.9,51.1,3.1,17.8,30.5,94.3,0.3
"Benton","AR","34.6",105776,3,69.5,30.4,9.3,278774,50.1,49.9,1.4,26.3,13.3,77.3,1.8
"Boone","AR","17.8",62639,4.6,60,48.2,7,37445,49.5,50.5,2.8,22.9,20.6,95.4,0.2
"Bradley","AR","12.5",55714,5.4,49.6,51.7,11.3,10597,47.4,52.6,2.2,24.7,18,63.5,26.3
"Calhoun","AR","12.2",64400,8.7,51.5,51.1,8.6,4811,50.9,49.1,1.2,19,20.4,74.9,22.2
"Carroll","AR","22.0",67648,4,54.4,49.3,12.5,28154,50.4,49.6,1.9,22,22.8,84.9,0.5
"Chicot","AR","14.8",55064,14.1,39.7,61.9,10,10405,50.1,49.9,2.6,22.2,20.8,42.8,53.6
"Clark","AR","27.9",60524,3.7,60,41.8,9,21569,47.4,52.6,1.7,19.2,16.2,69.9,24.4
"Clay","AR","14.0",54134,6.4,54.2,55,7.6,14661,48.3,51.7,2.2,21.8,21.3,95,0.6
"Cleburne","AR","17.0",65804,6.3,57.8,55.8,7,24848,50,50,3.2,19.2,26.7,95.6,0.3
"Cleveland","AR","16.7",67030,2,59.9,45,5.1,7632,46.4,53.6,2.1,20.6,20.5,84.2,14.5
"Columbia","AR","20.2",67600,4.4,58.5,45.7,6.9,22947,48.6,51.4,2.8,21.1,16.7,61.6,35.8
"Conway","AR","18.7",66002,6.7,52.8,53.6,6.5,20687,49.6,50.4,2.6,22.8,19.2,84.3,10.4
"Craighead","AR","28.9",74762,5.7,61.1,41.7,8.1,109875,48.8,51.2,1.6,25.1,13.6,76.5,15.5
"Crawford","AR","19.1",68549,4.7,56.8,47.4,8.8,60483,49.4,50.6,1.4,24.6,16.7,87.6,1.6
"Crittenden","AR","17.5",63460,9.9,49.4,49.1,8.8,48338,47.8,52.2,1.3,27.3,13.8,42,49.5
"Cross","AR","14.1",64227,8.2,48.9,51.6,8.6,16935,48.3,51.7,1.3,23.7,18.5,72.9,15.7
"Dallas","AR","11.5",51461,8.2,52.7,54.4,8.1,6645,48.4,51.6,2.8,21.6,23.4,53.5,43.3
"Desha","AR","13.7",49078,5.7,48.1,53,9.3,11530,46.6,53.4,2.1,25.8,18.8,48.8,48.2
"Drew","AR","23.7",62858,2.5,59,46.8,4.8,17511,48.2,51.8,1.5,21.8,17.7,68.4,28.9
"Faulkner","AR","32.9",74413,3.3,68.4,34,8,123191,48.9,51.1,1.1,23.1,12.5,81.2,11.8
"Franklin","AR","10.6",55015,5.1,53.1,53.6,6.4,17159,49.5,50.5,2.7,23.3,19.5,91.8,0.8
"Fulton","AR","11.4",50988,5.9,48,56.3,10.4,12072,49,51,2.5,21.2,25.6,93.6,0.3
"Garland","AR","23.8",68248,6.2,56.9,52,9.7,99694,48.3,51.7,2.5,20.2,23.4,85,8.3
"Grant","AR","18.0",80956,3.4,66.1,45.8,6.1,17912,50.1,49.9,1.1,22.6,17.8,93.1,2.2
"Greene","AR","16.3",62335,7.4,55.6,49.3,7.8,45665,49.5,50.5,1.6,24.6,15.8,92.7,2.4
"Hempstead","AR","16.0",59074,4.8,52.2,51.5,10.1,20352,46.9,53.1,0.9,25.5,17.8,55.4,30.3
"Hot Spring","AR","16.4",61326,5.5,53.2,52.2,7.3,33096,52.5,47.5,1.3,21.7,18.7,84.5,11.2
"Howard","AR","14.3",58542,5.7,51.8,51.5,10.8,12894,48,52,1.7,26.4,17.5,65.6,20.5
"Independence","AR","16.5",64737,5.4,54.3,46.6,9.2,37796,49.6,50.4,2.4,23.8,17,86.7,1.9
"Izard","AR","17.0",59246,6.9,52.2,56.1,6.1,13653,52.4,47.6,2.2,18.4,24.7,90,0.9
"Jackson","AR","12.7",54671,10.3,43.3,58.4,9.8,16878,49.7,50.3,1.8,20,17.7,76.6,10.9
"Jefferson","AR","19.5",60469,9.3,58.3,49.8,6.3,68199,49.7,50.3,1.9,22,17.5,39,55.8
"Johnson","AR","16.0",57149,3.8,56.8,48.8,7.8,25853,49.8,50.2,1.6,24.6,16.2,87.4,1.6
"Lafayette","AR","10.7",49938,8,44,58.6,10,6373,51.4,48.6,2,19.4,23.6,59.2,35.6
"Lawrence","AR","14.9",58053,7.2,52.3,53.5,7.4,16292,50.1,49.9,2.7,22.4,18.8,94,1.3
"Lee","AR","9.8",54648,14.3,43.1,59.8,8.7,8832,56.9,43.1,2.6,18.7,19.2,42.2,54.9
"Lincoln","AR","8.7",64155,3.1,62.5,44,7.5,13092,63.2,36.8,1.5,16.6,15.5,65.2,29.9
"Little River","AR","14.9",68258,8.4,67,44.3,5.4,12104,49.1,50.9,1.3,22.5,20.7,73.2,20.3
"Logan","AR","12.6",58847,4.8,59,46.9,7.2,21299,49.3,50.7,1.7,21.8,19.6,89.7,1.4
"Lonoke","AR","20.3",80070,5.2,68.2,38.3,7,73824,49.5,50.5,1.6,25.6,13.7,87.7,5.6
"Madison","AR","13.5",65885,5.1,52.6,49.6,9.5,16496,51.2,48.8,1.7,23.2,19.1,87.2,0.1
"Marion","AR","15.1",53025,7.7,55.5,58.3,6.8,16750,49.3,50.7,2,18.4,27.8,95.4,0.8
"Miller","AR","16.9",63639,7.5,52,51,9.8,42875,49.6,50.4,1.1,23.8,16.5,69.4,25.5
"Mississippi","AR","14.2",63932,9.6,52.9,49,8.3,41061,49.1,50.9,1.7,26.2,14.6,59.1,34.8
"Monroe","AR","13.5",54921,10.3,50.3,56.7,9.2,6903,48.1,51.9,3.5,21.6,22.9,54.2,42.9
"Montgomery","AR","15.3",54422,8.7,52.3,55.5,10.9,8525,50.5,49.5,2.4,18.4,26.8,92.2,0.5
"Nevada","AR","11.1",48701,7.4,47.6,60.7,5,8340,49.8,50.2,3.3,22.7,20.5,62.8,35.3
"Newton","AR","16.4",55070,4.6,60.1,51.1,5.7,7343,49.8,50.2,1.6,20.1,26.5,92.6,0.1
"Ouachita","AR","13.3",54988,6.3,52.5,55.7,6.2,22858,48.9,51.1,2.6,22.7,20.4,56.7,42.1
"Perry","AR","17.5",63794,4.3,60.7,49.8,3.4,10056,50.8,49.2,2.2,23.1,19.9,92,2.5
"Phillips","AR","14.3",48536,15.3,42.5,62.1,7.3,16923,46.5,53.5,2,26.5,18.9,34.7,63.8
"Pike","AR","19.5",63192,3.7,59.2,47.3,8.4,10234,49.5,50.5,1.9,21.7,20.1,88.8,4
"Poinsett","AR","11.5",54562,4.2,44.1,54.7,10.5,23212,49,51,2.4,24.1,17.9,86.3,4.1
"Polk","AR","15.5",63826,10.4,53.8,53.2,10.2,19476,49,51,2.2,23.1,22.6,89.8,0.4
"Pope","AR","23.2",68112,5.9,59.9,44.4,8.6,63234,49.6,50.4,2.1,22.9,15.4,87.6,2.5
"Prairie","AR","15.3",63372,6,58.8,46.5,6.9,8306,50.5,49.5,2.3,21,23.3,85.6,11
"Pulaski","AR","36.3",83568,5.3,63.4,41.1,8.5,397931,47.9,52.1,2.1,23.4,15.6,53.7,37.3
"Randolph","AR","16.1",58952,7.3,50.1,56.2,6.5,18442,50.6,49.4,2.2,24.1,19.5,91.2,1
"Saline","AR","27.9",83811,3.8,72.2,36.7,6,122308,49.1,50.9,1.6,23.4,17.8,86,8.1
"Scott","AR","10.9",54091,5.9,52.8,50.8,9,9928,53.4,46.6,1.4,23.6,20.2,85.7,2.9
"Searcy","AR","15.3",49687,4.3,51.1,58,5.7,7872,50.7,49.3,2.7,20.1,25.2,90,0.4
"Sebastian","AR","24.0",73995,5,57.1,42.1,11.5,127941,49.2,50.8,2.1,24.1,16,71.6,6.1
"Sevier","AR","11.6",66149,4.8,49,44.1,19.6,16074,50.1,49.9,0.9,28.8,13.9,60.7,2.9
"Sharp","AR","11.1",49445,5.5,44.9,65.3,5.8,17243,49.5,50.5,3.4,21.1,25,93.4,1
"St. Francis","AR","11.4",50995,6.6,44.7,56.3,9.3,23623,56.1,43.9,1.3,21.3,16.5,40,53.4
"Stone","AR","14.4",46572,7.5,40.1,66.7,8,12364,49.3,50.7,2.9,20,26.8,91.8,0.1
"Union","AR","18.4",66920,4.4,59.1,46.5,7.4,39262,48.7,51.3,1.7,24.2,17.7,63.6,32.7
"Van Buren","AR","16.3",52890,5.4,48.3,59.9,10.1,15851,49.4,50.6,3.1,19.3,25.7,93.9,1
"Washington","AR","33.7",81833,4.7,66.1,31.4,11.8,242793,50.3,49.7,1.2,24.3,11.7,72.8,3.4
"White","AR","20.3",66420,5.4,58.4,44.9,9.3,77075,48.9,51.1,1.4,23.4,16,89.6,4.5
"Woodruff","AR","16.1",62445,7.6,52.3,51.5,6.6,6333,48.4,51.6,2.4,21.7,23.6,69.6,28.4
"Yell","AR","14.0",64096,3.6,53.6,52.3,8,20489,50.9,49.1,2.2,24.2,17.2,76.6,1.8
"Apache","AZ","12.8",48645,9,30.6,48.2,26.8,66473,49.7,50.3,1.4,27,15.4,20.9,0.9
"Cochise","AZ","25.8",71103,7.1,63.3,51.6,7.9,125092,51,49,2.4,21.5,22.5,76.7,3.9
"Coconino","AZ","38.7",84392,7.8,64.8,33.3,10.9,144942,49.4,50.6,0.9,20.4,12.9,60.2,1.4
"Gila","AZ","18.8",65388,7.3,55.3,56.7,9.2,53211,49.9,50.1,3.3,20,28.8,70.8,0.8
"Graham","AZ","14.7",65827,5.9,59.2,46.5,8.1,38145,53.6,46.4,1.8,26.6,13.8,73.4,2
"Greenlee","AZ","16.0",75956,3.6,80,30.3,2.4,9542,53.5,46.5,0.5,27.4,12.9,86,1.9
"La Paz","AZ","11.8",53248,7.7,52.7,57.3,14.4,16845,51.8,48.2,2.9,16.5,39.6,65.9,0.6
"Maricopa","AZ","34.4",98750,5,66.1,33.4,10.9,4367186,49.7,50.3,1.7,23.7,15.2,70.5,5.6
"Mohave","AZ","14.6",66362,7.4,56.3,56.3,9.4,211274,50.7,49.3,2.6,17,30.4,85.6,1.1
"Navajo","AZ","16.7",59247,10.5,43,54.3,14.5,106609,50.5,49.5,1.5,26.6,18.2,46.2,1
"Pima","AZ","34.4",80772,6.3,62.9,42.4,8.9,1035063,49.4,50.6,2.2,20.8,19.8,69.6,3.4
"Pinal","AZ","20.9",82413,6.4,63.4,42.9,9.2,420625,52.1,47.9,1.6,22.6,20.4,73.1,4.6
"Santa Cruz","AZ","23.0",64691,9.9,43.7,53.5,12.1,47463,48,52,2.1,27.1,18,64.9,0.5
"Yavapai","AZ","27.8",74262,5.4,62.1,50.1,10.6,233789,49.2,50.8,3.2,16.2,31.9,86.8,0.6
"Yuma","AZ","15.7",68613,8.4,52.7,49.1,13.1,202944,51.7,48.3,2.1,25.4,19,66.5,2.1
"Alameda","CA","49.6",148638,5,74.5,30.4,4.3,1673133,49.5,50.5,1.8,20.6,14,35.9,10.2
"Alpine","CA","39.3",114903,9.2,59.6,52.5,6.6,1344,54.4,45.6,1.2,21.5,28.2,59.2,0.6
"Amador","CA","19.5",91269,6.8,69.6,48.7,4.7,40095,54.8,45.2,3.1,15.2,26.7,81.8,2.5
"Butte","CA","29.8",84766,7.2,61.1,47.1,6.4,217884,49.6,50.4,1.9,20.3,18,77.8,1.8
"Calaveras","CA","19.9",89521,6.8,62.9,49.6,6.6,45349,49.8,50.2,2.6,17,28,84.6,1
"Colusa","CA","14.7",80856,5.5,56.9,45.1,8.4,21780,51.2,48.8,2.9,27.3,14.6,68.8,1.7
"Contra Costa","CA","44.1",151026,5.8,74.6,32.9,4.7,1161643,49.2,50.8,1.9,22.7,15.8,50,8.6
"Del Norte","CA","16.1",69915,7.5,53.9,57.1,5.2,27655,53.4,46.6,1.6,21.7,17.9,69.4,3
"El Dorado","CA","36.8",123342,4.7,76.6,37.7,4.1,190568,50,50,2.2,20,21.5,84.7,0.9
"Fresno","CA","22.6",83892,8.8,53.7,49.2,7.3,1003150,50.1,49.9,1.5,28.5,12.1,54.3,4.5
"Glenn","CA","14.9",70801,7.1,56.3,47.4,10,28675,50.7,49.3,1.6,27.1,16.2,75,0.6
"Humboldt","CA","31.2",75434,9.4,57.1,50.7,7.7,137014,49.9,50.1,1.9,19.2,18.1,76.3,1.3
"Imperial","CA","15.2",66973,13.9,44.7,56,6.6,180051,51.5,48.5,1.6,28.8,12.8,48,2.7
"Inyo","CA","27.3",78816,4.3,65.6,44.4,7.1,18804,50.8,49.2,2.9,21.3,23.2,74,0.5
"Kern","CA","17.6",80195,8.9,51.5,48.7,8,905644,51.4,48.6,1.2,29,10.9,62.3,5.4
"Kings","CA","14.3",77920,9.1,55,46.5,7.6,151887,55.2,44.8,1.1,27.2,10.3,56.9,6.6
"Lake","CA","17.5",80886,10.1,50.3,60.8,6.7,67749,50.3,49.7,2.2,21.4,22.7,73,2.4
"Lassen","CA","11.8",73074,6.9,66.7,44.1,5.8,32949,64.8,35.2,1.6,16.4,14.7,75.7,8.6
"Los Angeles","CA","34.0",109499,7,58.9,39.1,9.1,10019635,49.5,50.5,1.9,21.6,13.7,43.7,7.9
"Madera","CA","16.4",83780,10.5,53.3,52.6,8.2,156304,48.6,51.4,1.6,27.6,13.9,55,3
"Marin","CA","60.1",195569,5.2,79.1,33.3,3.5,262387,49.2,50.8,2.7,20,22.4,75.3,2.3
"Mariposa","CA","28.9",70052,9.7,59.5,53.4,6.5,17225,51.2,48.8,3.3,16.8,28.2,85.8,0.9
"Mendocino","CA","24.5",78750,8.5,49.3,55.3,9.7,91534,49.7,50.3,2,21.4,22.4,77.3,0.7
"Merced","CA","14.1",79592,11.1,49.6,50.4,8.8,279150,50.8,49.2,1.2,29.6,11.1,46.2,2.9
"Modoc","CA","19.7",61796,9.9,48,53.6,12,8723,50.3,49.7,3.7,19.6,28.1,85,2
"Mono","CA","29.5",87835,2.4,69.7,30.6,12.5,13291,54.8,45.2,0.5,19.9,15,80.3,0.1
"Monterey","CA","26.5",110295,5.5,57.2,42.5,9.9,438953,51.1,48.9,1.8,26.3,13.7,43.3,2.5
"Napa","CA","37.0",136193,4.9,73.1,35.2,6,138795,50.1,49.9,2.3,20.5,19.3,67,2.1
"Nevada","CA","38.7",103903,4.2,67,46.6,5.5,102090,49.5,50.5,3,17.2,27.5,90.5,0.4
"Orange","CA","42.1",134820,5.4,68.6,33,7.1,3182923,49.6,50.4,2,22,14.8,53.6,1.7
"Placer","CA","41.6",127176,4.3,80.4,32.4,3.4,400330,49.2,50.8,2.5,22.3,19.4,77.8,1.6
"Plumas","CA","23.0",80975,8.2,66.4,52,4.4,19631,50.5,49.5,2,17.4,28.3,88.6,1.7
"Riverside","CA","23.5",100004,7.2,59.6,41.2,8.3,2409331,50.1,49.9,1.6,25.2,14.3,51.2,6.5
"Sacramento","CA","32.0",99141,6.6,66.2,40.3,5.4,1571767,49.2,50.8,1.8,23.7,14.1,52.1,9.7
"San Benito","CA","20.5",118804,7.1,68.2,36.4,6.4,63329,50.5,49.5,1.6,26,12.7,62.7,1
"San Bernardino","CA","21.9",91380,7.5,56.7,42.3,8.5,2171071,50,50,1.2,26.4,11.6,50.7,8
"San Diego","CA","40.3",118474,6.6,69.4,33.6,7.5,3296317,50.6,49.4,1.8,21.7,14.1,62,4.9
"San Francisco","CA","59.5",178742,5.3,76.2,29.5,3.6,865933,51.2,48.8,2.5,13.6,15.9,43.4,5.2
"San Joaquin","CA","19.5",97178,7.3,60.3,42.9,6.4,771406,50.1,49.9,1.5,27.2,12.6,46.5,7
"San Luis Obispo","CA","36.7",107113,5.1,73.5,36.7,5.9,282771,50.8,49.2,2.3,17.8,20.2,79.9,1.5
"San Mateo","CA","52.5",196442,4.6,80.2,27.5,3.8,762488,49.8,50.2,2.3,20.4,16.2,45.9,2.4
"Santa Barbara","CA","35.1",120192,6.1,62.8,38.8,10.1,447651,50.3,49.7,2.3,22.5,15.2,65.9,1.9
"Santa Clara","CA","54.4",189352,4.5,77.8,26.4,4.1,1932022,50.9,49.1,1.9,21.8,13.6,39,2.5
"Santa Cruz","CA","41.9",133176,6.4,71.6,35.4,5.4,272138,49.8,50.2,1.9,19.1,16.8,68.5,1.1
"Shasta","CA","22.6",84215,6.5,61.1,47.7,6.8,181935,49.4,50.6,2.5,21.8,20.4,83.3,1.1
"Sierra","CA","22.3",79957,9,61.2,38.7,15.5,3079,46.8,53.2,1.4,15.4,27.8,90.2,0.1
"Siskiyou","CA","21.5",67989,7.9,53.9,57.5,6.5,44151,50.3,49.7,2.6,20.3,25.5,81.8,1.7
"Solano","CA","27.8",111110,6,73.9,35.5,4.8,451432,50,50,1.7,22.3,15.9,48.5,13.4
"Sonoma","CA","37.1",121206,5.1,72.5,36.2,5.9,492498,49.1,50.9,2.4,19.7,19.9,70.4,1.6
"Stanislaus","CA","17.9",89007,8.4,58.4,44.7,6.1,550842,49.8,50.2,1.6,27.3,13,64.8,3
"Sutter","CA","20.0",91829,7.6,59.9,45.4,6.6,99080,50.2,49.8,1.9,26,15.2,58.5,1.9
"Tehama","CA","17.0",79138,8.1,55.1,53.5,6.5,65345,49.8,50.2,2.1,24.1,19.6,80.6,0.9
"Trinity","CA","18.6",62784,5.8,50.4,57.5,10.5,15818,51.1,48.9,2.5,16.3,27.8,82.4,0.6
"Tulare","CA","15.2",77575,10.2,45.3,54.8,7.7,470999,50.2,49.8,1.4,30.8,11.3,59.3,1.7
"Tuolumne","CA","24.6",88355,8.1,66.8,45.7,6.5,55243,52.1,47.9,3.3,17,26.2,85.4,1.7
"Ventura","CA","34.0",123929,5.6,67,34.9,8.4,845255,49.8,50.2,2.1,22.9,15.7,70.1,1.8
"Yolo","CA","43.1",109841,5.6,73.6,32.2,4.5,216703,48.6,51.4,1.6,21,12.5,63.3,2.6
"Yuba","CA","17.7",77817,6.5,57.6,47.6,7.1,80404,50.6,49.4,1.3,27.7,12.5,69.2,3.6
"Adams","CO","26.4",95320,4.6,65.3,32.8,10.5,514969,50.8,49.2,1,26.3,10.5,71,3.4
"Alamosa","CO","25.6",64002,5.5,50.9,49.7,10.3,16377,50.5,49.5,1.3,24.5,13.6,73.1,2.1
"Arapahoe","CO","44.5",116119,4.6,72,29.8,8.3,651621,49.9,50.1,1.5,23.4,13.2,67.2,11
"Archuleta","CO","39.9",82033,4.7,55.4,48.3,11.8,13267,50.6,49.4,1.6,17.8,26.1,80.4,0.3
"Baca","CO","23.8",58414,2.7,53.8,54.6,7.5,3519,49.4,50.6,4.3,21.9,24.7,91.2,0.6
"Bent","CO","14.2",51216,6.1,50.4,57.2,9.8,5861,62.3,37.7,3,15.6,18.6,76.2,5.1
"Boulder","CO","62.9",128190,4.6,79.9,26,4.6,328713,50.5,49.5,1.7,18.9,14.7,84.9,0.9
"Broomfield","CO","57.8",135789,3.3,81.8,22,5.8,72697,50.2,49.8,1.9,22.4,14,83,1.4
"Chaffee","CO","39.4",79448,4.8,62.5,46.6,8.5,19436,51.8,48.2,2.8,15,25.4,92,1.4
"Cheyenne","CO","22.2",80857,2.9,71.6,38.7,6.7,1691,50.8,49.2,1.8,28.6,19.5,88.1,0.3
"Clear Creek","CO","53.6",108876,3.9,73.5,28.7,9.7,9427,50.7,49.3,1,12.9,20.7,92.1,1.4
"Conejos","CO","24.5",52513,8,44.2,57.7,13.9,7579,50.4,49.6,1.4,26,19.3,74.6,0.5
"Costilla","CO","24.4",48539,7.7,41.1,68.9,8.9,3517,53.1,46.9,1.5,15.7,26.3,69.7,0
